,LKOH,SBER,GAZP,TATN,NVTK,GMKN,VTBR,PLZL,ROSN,SNGS,RUAL,MOEX,IRAO,MTSS,CHMF,NLMK,PIKK,PHOR,AFLT,RTKM,MAGN,ALRS,TRNFP
LKOH,1.0,0.5543280246323679,0.5469255968312579,0.6583022721219759,0.5628579111800257,0.4606018136943331,0.40995490028333487,0.22845486112643362,0.68543580967614,0.5264255707732549,0.3744886023102373,0.4193002084388456,0.43505268740845743,0.4182176521693441,0.411034142656255,0.43299468160461785,0.320137585606145,0.2610892486144629,0.39333445888951496,0.36442439418284067,0.39734471234170304,0.4541069932314576,0.3460124626965046
SBER,0.5543280246323679,1.0,0.5760440276375344,0.5542573771093424,0.5562241717899994,0.4615667974801923,0.5398444403144337,0.2741486344326978,0.631982052019871,0.5305678047391987,0.42778013781658625,0.5166996057394775,0.5115821173563144,0.49390487849402925,0.45450880186671244,0.45388371328902327,0.4026790766404518,0.2126799794720088,0.5262107997297099,0.40542333474124154,0.4343377207903979,0.5027365069696796,0.3894099178245329
GAZP,0.5469255968312579,0.5760440276375344,1.0,0.5527829880857416,0.509183639799149,0.4640951017845169,0.44344454922264503,0.27308539592517744,0.5955827608060238,0.5052353190149326,0.3636493698478772,0.4232478380634371,0.44791762191556833,0.42873143476329234,0.42679466580147524,0.42962327507885645,0.3361287895429524,0.26093306690508694,0.41618705989211785,0.4119030191267727,0.3929173500143082,0.48271723264018324,0.36800088366258044
TATN,0.6583022721219759,0.5542573771093424,0.5527829880857416,1.0,0.5769460304280786,0.4725423659377013,0.41225451496062876,0.23163196983535367,0.6908074198311394,0.5668892374603447,0.35597134591673135,0.4189327556628054,0.4597550521077147,0.4206513393922843,0.4195394563932508,0.4433113810211486,0.32329838598304933,0.2956483982748384,0.3815529757128393,0.3710218132760121,0.3744466607117801,0.48101101217283376,0.390694447558781
NVTK,0.5628579111800257,0.5562241717899994,0.509183639799149,0.5769460304280786,1.0,0.5079769828271565,0.40776508349642043,0.2663713661941717,0.6079693229316364,0.5184988657279327,0.4015418247408813,0.43024406625741884,0.42705218922259175,0.4001835882282345,0.4520257654741025,0.46422447822640006,0.36507531544681127,0.37255092370242454,0.4066204191659337,0.44977230079261277,0.42404004614034485,0.5088033260451762,0.3681801760168004
GMKN,0.4606018136943331,0.4615667974801923,0.4640951017845169,0.4725423659377013,0.5079769828271565,1.0,0.35351765084048303,0.32004325343775003,0.48639762198777703,0.4521924316781121,0.5271459810186893,0.387842561781265,0.3539522349319282,0.3855356939368137,0.4896618951755876,0.4784227768320573,0.34474498335346343,0.30421810776551694,0.36936511887014056,0.39433212692646163,0.44592222489960615,0.4565262907940663,0.32485870088801466
VTBR,0.40995490028333487,0.5398444403144337,0.44344454922264503,0.41225451496062876,0.40776508349642043,0.35351765084048303,1.0,0.21718009052277193,0.4533547429133302,0.4397188331873159,0.3026959983513598,0.3761261828142244,0.4382489500889706,0.39703148264408633,0.38538075933202864,0.37027783653128526,0.33405011221456204,0.15715868693830826,0.4314959047706068,0.36193944206814405,0.317502323202988,0.39075751346179627,0.33580574017217707
PLZL,0.22845486112643362,0.2741486344326978,0.27308539592517744,0.23163196983535367,0.2663713661941717,0.32004325343775003,0.21718009052277193,1.0,0.29497715617165815,0.2967186796310329,0.2524843093365967,0.2623900228016081,0.2678154893129472,0.24927938210288278,0.25149001260963094,0.2453554761500786,0.20550431728472549,0.19481814018624646,0.19967461826294614,0.2546147979038516,0.21944168224862642,0.26918561852192047,0.2245604683081801
ROSN,0.68543580967614,0.631982052019871,0.5955827608060238,0.6908074198311394,0.6079693229316364,0.48639762198777703,0.4533547429133302,0.29497715617165815,1.0,0.5990857695926561,0.4071467939236395,0.4614814384087832,0.5108025090530413,0.46367824331170154,0.4606624616079104,0.4647361239214548,0.39070530555698985,0.30469049686588817,0.4426208508427031,0.4345497821267661,0.42557875991236577,0.5185230177872837,0.42338536530719245
SNGS,0.5264255707732549,0.5305678047391987,0.5052353190149326,0.5668892374603447,0.5184988657279327,0.4521924316781121,0.4397188331873159,0.2967186796310329,0.5990857695926561,1.0,0.37152277860467003,0.43720724975219516,0.4666612650594782,0.4368271142988503,0.4230160683686037,0.44394144055404466,0.37554781895694095,0.25350969477539415,0.4128843804805354,0.4045909782922315,0.3793506075702083,0.46436174580627854,0.4284822655367361
