,LKOH,SBER,GAZP,TATN,NVTK,GMKN,VTBR,PLZL,ROSN,SNGS,RUAL,MOEX,IRAO,MTSS,CHMF,NLMK,PIKK,PHOR,AFLT,RTKM,MAGN,ALRS,TRNFP
LKOH,0.04405968866010785,0.0036241377618561753,0.02307576500318402,0.03137724062612472,0.024676337920806018,0.010117033403318968,0.0032751519855528832,-0.0002714117798852186,0.031249135067511993,0.022998432259015773,0.014834373083118598,0.00883234046460761,0.003486410845612201,0.0004138149069932467,0.00848247768501541,0.010306039932137108,-0.0007271779740122336,0.01080102827662266,0.0019067679909112267,0.005649992087324334,0.012950263750126529,0.012866764565939465,0.005132801882905009
SBER,0.0036241377618561753,0.006529986976973288,0.007494906562983921,0.0036675021671287097,0.0055502743341714665,0.007558934366828696,0.00594954277368486,0.004625421090285311,0.0038200422784036613,0.0070178091519419806,0.006923499260195846,0.005573079780924611,0.005572440205722983,0.004050584279646334,0.01041965440202212,0.00899102970607303,0.0004834787604709765,0.00355529747970193,0.00724211318243845,0.0068635119996307776,0.01242173406909183,0.010165847209411055,0.0036004356820923187
GAZP,0.02307576500318402,0.007494906562983921,0.03664337586008937,0.030609582270082206,0.026980337116712574,0.017909626436637835,0.011016651583442966,0.011442950713535982,0.025977901231603564,0.02604311729441131,0.02293788402235349,0.01441838699578204,0.010327000927986512,0.003986651168487866,0.021915088474360838,0.019284397838168776,0.0018407383429229279,0.015707468814210947,0.011494111314937931,0.013170400058266227,0.02418570514114211,0.0265453975212426,0.01094158831529505
TATN,0.03137724062612472,0.0036675021671287097,0.030609582270082206,0.057985389942653905,0.03201690956902733,0.005364866553195913,0.0007482841255027935,-0.007378943800402212,0.043253120380362685,0.025763474880273533,0.01941364465580263,0.010878681910821347,0.008372583674535632,0.004855609089223637,0.014431174222658555,0.011635912953864957,-0.0016528640495413025,0.016696714875257323,-0.003946927049489681,0.006921468241093799,0.013671534880917692,0.013563130732569895,0.007195118974693688
NVTK,0.024676337920806018,0.0055502743341714665,0.026980337116712574,0.03201690956902733,0.056637996570322834,0.02573126324927645,0.012790471171213388,0.011168921953870783,0.03364956817236708,0.029551796779153535,0.03201269887584742,0.014338991264190281,0.009958762784865733,0.0024378900770973895,0.019075703037084092,0.01587688724539366,0.0032367162635480043,0.020459693347853948,0.011373489954083823,0.010881587508956524,0.019729493529143292,0.024816521300182973,0.007522478201284875
GMKN,0.010117033403318968,0.007558934366828696,0.017909626436637835,0.005364866553195913,0.02573126324927645,0.057741955393146444,0.0157821728095282,0.04022184237712421,0.0018046315211871092,0.02078796131906187,0.020291345342813773,0.0176807093163594,0.011420570579698083,0.002638615251796934,0.03050106949550509,0.025175088554843107,-0.00015259405668104574,0.015866195780126068,0.02806233776720333,0.012931759977173926,0.03472667788834707,0.03026484596581205,0.006134710230700317
VTBR,0.0032751519855528832,0.00594954277368486,0.011016651583442966,0.0007482841255027935,0.012790471171213388,0.0157821728095282,0.04161513483380678,0.010816419572430824,0.0028424779476194074,0.012988408765858887,0.018934146324600692,0.008804860913441794,0.009964311159455199,0.00018278142225753024,0.011251262063292734,0.01262357077924897,0.00481741857155326,0.010025828472007049,0.01856956072480687,0.007054465296966769,0.021978685215263218,0.010192446198419927,0.004380368847293864
PLZL,-0.0002714117798852186,0.004625421090285311,0.011442950713535982,-0.007378943800402212,0.011168921953870783,0.04022184237712421,0.010816419572430824,0.08628177820883733,-0.00826243805508492,0.013057534783428713,0.013998499143538573,0.0075060184230267245,0.00445298629871238,0.0031528973805588366,0.014216755083444152,0.009560861000917107,0.004014000798282656,0.010488874248476302,0.02673524063512809,0.012987539660622542,0.018816859589113367,0.023794578945457872,0.007848417895236758
ROSN,0.031249135067511993,0.0038200422784036613,0.025977901231603564,0.043253120380362685,0.03364956817236708,0.0018046315211871092,0.0028424779476194074,-0.00826243805508492,0.048100183101157164,0.02329771310872075,0.025208041928373153,0.011268041213393467,0.007278528919642573,0.0014156618447753197,0.011041516868611177,0.009406128122118253,-0.00011662249310167636,0.017811922937332057,-0.004140062534040858,0.0060205020739837675,0.009462533361022119,0.012798847519450287,0.0058003254716647076
SNGS,0.022998432259015773,0.0070178091519419806,0.02604311729441131,0.025763474880273533,0.029551796779153535,0.02078796131906187,0.012988408765858887,0.013057534783428713,0.02329771310872075,0.030839688834297573,0.023445997576301558,0.014081226528240136,0.009613514967096507,0.0033857260723135353,0.017580716432291196,0.01631119335881705,0.001070815423087097,0.01604492918043927,0.010648201059877484,0.011784854051100621,0.023096085744972433,0.022824450620315302,0.008917440249462753
RUAL,0.014834373083118598,0.006923499260195846,0.02293788402235349,0.01941364465580263,0.03201269887584742,0.020291345342813773,0.018934146324600692,0.013998499143538573,0.025208041928373153,0.023445997576301558,0.06600438741045297,0.013076656860817003,0.011938280015181033,0.005461433554941904,0.02090489029416466,0.01866999452637276,0.005323687255000498,0.016634214558270057,0.009556740355146707,0.014664431908705745,0.01973873577637268,0.023200920836277887,0.010834678333031717
MOEX,0.00883234046460761,0.005573079780924611,0.01441838699578204,0.010878681910821347,0.014338991264190281,0.0176807093163594,0.008804860913441794,0.0075060184230267245,0.011268041213393467,0.014081226528240136,0.013076656860817003,0.018937606258554878,0.007703634536888481,0.00233229936772169,0.01661624963330222,0.013657865417319738,0.002373311074282918,0.010611805511110734,0.011775659455323564,0.011246371764936518,0.020451724757162074,0.015730710020722925,0.005575952751507946
IRAO,0.003486410845612201,0.005572440205722983,0.010327000927986512,0.008372583674535632,0.009958762784865733,0.011420570579698083,0.009964311159455199,0.00445298629871238,0.007278528919642573,0.009613514967096507,0.011938280015181033,0.007703634536888481,0.01680090502068419,0.00722847581806232,0.016580205883971307,0.013174655821688966,0.0002006923806907509,0.00862260807236297,0.008897770103834286,0.009794390786750632,0.0169521002756607,0.012859257313565567,0.003823186161919242
MTSS,0.0004138149069932467,0.004050584279646334,0.003986651168487866,0.004855609089223637,0.0024378900770973895,0.002638615251796934,0.00018278142225753024,0.0031528973805588366,0.0014156618447753197,0.0033857260723135353,0.005461433554941904,0.00233229936772169,0.00722847581806232,0.01188878049860606,0.01169457867651554,0.008022992527895971,0.0003352587064430579,0.003129604939339163,0.0037994929358333277,0.010024719079407551,0.009394446022367166,0.007267047817184408,0.0027805462903692994
CHMF,0.00848247768501541,0.01041965440202212,0.021915088474360838,0.014431174222658555,0.019075703037084092,0.03050106949550509,0.011251262063292734,0.014216755083444152,0.011041516868611177,0.017580716432291196,0.02090489029416466,0.01661624963330222,0.016580205883971307,0.01169457867651554,0.04477219062865223,0.035777834872625584,0.00034220693454670555,0.014603609836237052,0.023186453156222427,0.02007120241870128,0.04188682562109542,0.03177314815893095,0.009673584647553364
NLMK,0.010306039932137108,0.00899102970607303,0.019284397838168776,0.011635912953864957,0.01587688724539366,0.025175088554843107,0.01262357077924897,0.009560861000917107,0.009406128122118253,0.01631119335881705,0.01866999452637276,0.013657865417319738,0.013174655821688966,0.008022992527895971,0.035777834872625584,0.03355373781705131,0.0010626310767312401,0.011578998796410986,0.019595393164527315,0.015417053162565595,0.0373486640859104,0.028576336476985646,0.008698371088105707
PIKK,-0.0007271779740122336,0.0004834787604709765,0.0018407383429229279,-0.0016528640495413025,0.0032367162635480043,-0.00015259405668104574,0.00481741857155326,0.004014000798282656,-0.00011662249310167636,0.001070815423087097,0.005323687255000498,0.002373311074282918,0.0002006923806907509,0.0003352587064430579,0.00034220693454670555,0.0010626310767312401,0.016673437481545192,-0.0010037295314201738,0.005626066740011137,0.003036409647513024,0.00440853039671145,0.0011717091804456792,0.0007610118657139516
PHOR,0.01080102827662266,0.00355529747970193,0.015707468814210947,0.016696714875257323,0.020459693347853948,0.015866195780126068,0.010025828472007049,0.010488874248476302,0.017811922937332057,0.01604492918043927,0.016634214558270057,0.010611805511110734,0.00862260807236297,0.003129604939339163,0.014603609836237052,0.011578998796410986,-0.0010037295314201738,0.032130578359518276,0.0047012290644118685,0.006656306866444428,0.015292992727198418,0.014870421061204857,0.001730211561065822
