,market_cap_rub,market_cap_bln_rub,market_weight
LKOH,3553362060417.0,3553.36,0.103628
SBER,6969993770240.0,6969.99,0.203269
GAZP,2855262390869.0,2855.26,0.083269
TATN,1311353932330.0,1311.35,0.038244
NVTK,3438616545000.0,3438.62,0.100282
GMKN,1960014476334.0,1960.01,0.057161
VTBR,1155289845765.84,1155.29,0.033692
PLZL,2880044922516.6,2880.04,0.083992
ROSN,4313458371519.0,4313.46,0.125795
SNGS,691119367568.22,691.12,0.020155
RUAL,575131577601.01,575.13,0.016773
MOEX,384006161950.02,384.01,0.011199
IRAO,333819000000.0,333.82,0.009735
MTSS,450535126083.75,450.54,0.013139
CHMF,622257420648.0,622.26,0.018147
NLMK,503191359070.4,503.19,0.014675
PIKK,356206217619.2,356.21,0.010388
PHOR,874125000000.0,874.12,0.025492
AFLT,188252767030.25,188.25,0.00549
RTKM,173079650816.88,173.08,0.005048
MAGN,280643297950.0,280.64,0.008185
ALRS,202904803106.5,202.9,0.005917
TRNFP,216905062500.0,216.91,0.006326
